observation_date,CPALTT01USM659N
2/1/1997,3.034215999999999802
3/1/1997,2.761721000000000092
4/1/1997,2.495201999999999920
5/1/1997,2.234993999999999925
6/1/1997,2.297384000000000093
7/1/1997,2.229299000000000142
8/1/1997,2.225048000000000137
9/1/1997,2.154625999999999930
10/1/1997,2.084649000000000196
11/1/1997,1.828499000000000096
12/1/1997,1.702396000000000020
1/1/1998,1.571339000000000041
2/1/1998,1.441103000000000023
3/1/1998,1.375000000000000000
4/1/1998,1.435705000000000009
5/1/1998,1.686445999999999890
6/1/1998,1.684341999999999784
7/1/1998,1.682242999999999933
8/1/1998,1.616915000000000102
9/1/1998,1.488833999999999991
10/1/1998,1.485149000000000052
11/1/1998,1.547987999999999920
12/1/1998,1.611903000000000086
1/1/1999,1.670791999999999833
2/1/1999,1.605930000000000080
3/1/1999,1.726264000000000021
4/1/1999,2.276923000000000030
5/1/1999,2.088452000000000197
6/1/1999,1.963189999999999991
7/1/1999,2.144608000000000292
8/1/1999,2.264381999999999895
9/1/1999,2.628362000000000087
10/1/1999,2.560975999999999697
11/1/1999,2.621950999999999699
12/1/1999,2.684563999999999950
1/1/2000,2.738891999999999882
2/1/2000,3.221884000000000192
3/1/2000,3.757575999999999805
4/1/2000,3.068592000000000208
5/1/2000,3.188928999999999903
6/1/2000,3.730445000000000011
7/1/2000,3.659267999999999965
8/1/2000,3.411130999999999691
9/1/2000,3.454437000000000424
10/1/2000,3.448276000000000341
11/1/2000,3.446226999999999485
12/1/2000,3.386808999999999514
1/1/2001,3.732228000000000101
2/1/2001,3.533569000000000404
3/1/2001,2.920561000000000185
4/1/2001,3.269118999999999886
5/1/2001,3.615159999999999929
6/1/2001,3.248259999999999703
7/1/2001,2.719908000000000214
8/1/2001,2.719908000000000214
9/1/2001,2.648244000000000042
10/1/2001,2.126436999999999689
11/1/2001,1.895461999999999980
12/1/2001,1.551724000000000103
1/1/2002,1.142203999999999997
2/1/2002,1.137656000000000001
3/1/2002,1.475595999999999908
4/1/2002,1.639343999999999912
5/1/2002,1.181767000000000012
6/1/2002,1.067415999999999920
7/1/2002,1.464788999999999897
8/1/2002,1.802816999999999892
9/1/2002,1.514302000000000037
10/1/2002,2.025885999999999854
11/1/2002,2.198422000000000320
12/1/2002,2.376909999999999634
1/1/2003,2.597402999999999906
2/1/2003,2.980876999999999999
3/1/2003,3.020134000000000096
4/1/2003,2.224693999999999949
5/1/2003,2.057841999999999949
6/1/2003,2.112284999999999968
7/1/2003,2.109938999999999787
8/1/2003,2.158272999999999886
9/1/2003,2.320441999999999894
10/1/2003,2.040815999999999963
11/1/2003,1.765030000000000099
12/1/2003,1.879491000000000023
1/1/2004,1.926252000000000075
2/1/2004,1.693063999999999902
3/1/2004,1.737241999999999509
4/1/2004,2.285092999999999819
5/1/2004,3.051771000000000011
6/1/2004,3.266195000000000181
7/1/2004,2.990756000000000192
8/1/2004,2.654387999999999970
9/1/2004,2.537797000000000303
10/1/2004,3.189188999999999830
11/1/2004,3.523034999999999695
12/1/2004,3.255561999999999845
1/1/2005,2.969761999999999791
2/1/2005,3.007518999999999831
3/1/2005,3.148346000000000089
4/1/2005,3.510637999999999703
5/1/2005,2.802750000000000075
6/1/2005,2.530311000000000199
7/1/2005,3.167898999999999798
8/1/2005,3.641160999999999870
9/1/2005,4.686676999999999538
10/1/2005,4.347826000000000413
11/1/2005,3.455497000000000263
12/1/2005,3.415658999999999779
1/1/2006,3.985317000000000220
2/1/2006,3.597497000000000167
3/1/2006,3.362649000000000221
4/1/2006,3.545734999999999637
5/1/2006,4.166666999999999454
6/1/2006,4.318766000000000105
7/1/2006,4.145343000000000444
8/1/2006,3.818737000000000048
9/1/2006,2.062374000000000152
10/1/2006,1.305220999999999965
11/1/2006,1.973683999999999994
12/1/2006,2.540649999999999853
1/1/2007,2.075642999999999905
2/1/2007,2.415199000000000318
3/1/2007,2.778779000000000110
4/1/2007,2.573697000000000124
5/1/2007,2.690863999999999923
6/1/2007,2.687038000000000260
7/1/2007,2.358230999999999966
8/1/2007,1.970083000000000473
9/1/2007,2.755052000000000056
10/1/2007,3.536175000000000068
11/1/2007,4.306203000000000003
12/1/2007,4.081268999999999814
1/1/2008,4.280294000000000487
2/1/2008,4.026555999999999358
3/1/2008,3.981456000000000106
4/1/2008,3.936890000000000001
5/1/2008,4.175543000000000227
6/1/2008,5.021790000000000198
7/1/2008,5.600122999999999962
8/1/2008,5.371855000000000047
9/1/2008,4.936926999999999843
10/1/2008,3.655186000000000046
11/1/2008,1.069574999999999942
12/1/2008,0.091412899999999894
1/1/2009,0.029846499999999901
2/1/2009,0.236191099999999987
3/1/2009,-0.3835562
4/1/2009,-0.7368857
5/1/2009,-1.281436
6/1/2009,-1.426776
7/1/2009,-2.097161
8/1/2009,-1.484349
9/1/2009,-1.286206
10/1/2009,-0.1828483
11/1/2009,1.838295999999999930
12/1/2009,2.721331000000000166
1/1/2010,2.625709000000000071
2/1/2010,2.143332000000000015
3/1/2010,2.313959000000000099
4/1/2010,2.236447000000000074
5/1/2010,2.020986000000000171
6/1/2010,1.053349000000000091
7/1/2010,1.235192999999999985
8/1/2010,1.148104999999999931
9/1/2010,1.143683000000000005
10/1/2010,1.172188000000000008
11/1/2010,1.143161000000000094
12/1/2010,1.495722999999999914
1/1/2011,1.631846999999999825
2/1/2011,2.107584999999999820
3/1/2011,2.681602999999999959
4/1/2011,3.163631000000000082
5/1/2011,3.568646000000000207
6/1/2011,3.558828000000000102
7/1/2011,3.628715999999999831
8/1/2011,3.771208000000000116
