observation_date,EXPINF1YR
1/1/2018,1.9048938
2/1/2018,2.13804094
3/1/2018,1.68874433
4/1/2018,1.84679022
5/1/2018,1.96778394
6/1/2018,1.59099529
7/1/2018,2.12308939
8/1/2018,2.12845808
9/1/2018,2.41001454
10/1/2018,2.21216657
11/1/2018,2.16701625
12/1/2018,1.98107002
1/1/2019,1.8039584
2/1/2019,1.78943106
3/1/2019,1.37532429
4/1/2019,2.0373803
5/1/2019,2.18513987
6/1/2019,1.60914045
7/1/2019,1.74765616
8/1/2019,1.71433646
9/1/2019,1.64492794
10/1/2019,1.72460183
11/1/2019,1.69729979
12/1/2019,1.70378442
1/1/2020,1.79710932
2/1/2020,1.64596366
3/1/2020,0.98707392
4/1/2020,-0.05035367
5/1/2020,-0.21879037
6/1/2020,0.51275711
7/1/2020,1.57200144
8/1/2020,1.67677177
9/1/2020,1.5827644
10/1/2020,1.39703767
11/1/2020,1.42002946
12/1/2020,1.64952129
1/1/2021,1.4460926
2/1/2021,1.67548668
3/1/2021,1.51383809
4/1/2021,1.75471736
5/1/2021,1.86820734
6/1/2021,2.05518859
7/1/2021,2.07311612
8/1/2021,2.46241259
9/1/2021,2.68413713
10/1/2021,1.85436755
11/1/2021,2.4798405
12/1/2021,2.62030861
1/1/2022,2.24175848
2/1/2022,2.62741883
3/1/2022,3.05769883
4/1/2022,3.39290341
5/1/2022,3.63465785
6/1/2022,4.22671337
7/1/2022,3.3092777
8/1/2022,3.37713165
9/1/2022,4.17914969
10/1/2022,2.88195932
11/1/2022,3.23904839
12/1/2022,2.86811918
1/1/2023,2.6790161
2/1/2023,2.61308946
3/1/2023,2.07325087
4/1/2023,2.65083257
5/1/2023,2.65363857
6/1/2023,1.36626254
7/1/2023,2.47431653
8/1/2023,2.60696893
9/1/2023,2.81243484
10/1/2023,2.76957367
11/1/2023,2.7911957
12/1/2023,3.09166499
1/1/2024,2.41863256
